Материал, Количество, Цена за еденицу, Сумма, USD



Монтаж каркаса,монтаж на коннекторы 40 часов два человека,60тыс за час,4800000,300
Плита ОСБ,110 м2,50тыс за м2,6000000,375
Резка ОСБ на треугольники, 35тыс за треугольник, 90шт, 3200000,200
Заклепки для коннекторов, 200 шт, пачка 500тыс,500000,31
Доставка треугольников и коннекторов,65км одни рейс,5тыс за км один рейс-700тыс,700000,43
Бруски для вентиляции,50 метров,10 тыс метр,500000,31
Монтаж брусков,монтаж над пленкой + напилить 8 часов два человека,60тыс за час,960000,60
Паропроницаемая пленка,100 м2, два рулона по 400тыс,800000,50
Монтаж пленки,8 часов два человека,60тыс за час,960000,60
Монтаж треугольников,24 часа два человека,60тыс за час,2900000,181
Подложка под мягкую кровлю,100м2,40 тыс за м2,4000000,250
Мягкая кровля,100м2,120 тыс за м2,12000000,750
Клей для подложки, 10 литров, 120 тыс литр, 1200000,78
Гвозди оцинкованые, 15 кг, 65тыс за кг,1000000,63
Доставка материалов на крышу,65км один рейс,5тыс за км один рейс-0.7млн,1400000,44
Проезд и связь,,,800000,51
Организационные расходы,,,5600000,350
Общий минимальный расход на август,,,52 300 000,3267
Курс USD на август,,,,16000



Чертежи каркаса, деталировка,, 1600000,101
Чертежи на кровлю,,,1600000,101
Организационные расходы за август,,,6000000,350
Работы по монтажу бруса и балок, 2 чел по 16 часов, 60 тыс час,1920000,121





Доска для подшивки пола,40 м2 1м3,от 1600тыс за м3,1600000,100  
Доска для каркаса,300 метров 50*150,20тыс за метр,6000000,375
Резка доски под углом, 300 метров с двух краев, 3тыс рез, 1800000,113
Доставка доски для каркаса и подшивки,65км один рейс,5тыс за км один рейс-700тыс,700000,43
Монтаж пола,монтаж только низа + черновой пол 8 часов два человека,60тыс за час,960000,60
